sigla_uf,cnae_2_subclasse,tipo_vinculo,valor_remuneracao_media,sexo,raca_cor,grau_instrucao_apos_2005,cbo_2002,id_municipio
RO,5231102,10,2343.81,1,6,7,784205,1100205
RO,5231102,10,1288.92,1,8,7,784205,1100205
RO,5231102,10,1148.58,1,8,7,784205,1100205
RO,5231102,10,2376.89,1,2,9,411010,1100205
RO,5231102,10,1211.79,1,9,7,517410,1100205
RO,5231102,10,2950.38,1,2,7,848425,1100205
RO,5231101,10,12757.13,1,8,8,351305,1100205
RO,5231102,10,2092.36,2,2,7,783220,1100205
RO,5231102,10,2415.35,2,6,7,411010,1100205
RO,5231102,10,3449.75,2,2,8,411010,1100205
RO,5231101,10,4719.61,1,9,9,410105,1100205
RO,5231102,10,2500.59,1,9,7,410105,1100205
RO,5231102,10,2162.37,1,9,7,782220,1100205
RO,5231102,10,454.94,1,8,7,784205,1100205
RO,5231101,10,12044.32,2,2,8,351305,1100205
RO,5231101,10,2392.67,1,9,9,517325,1100205
RO,5231102,10,1749.03,2,8,7,411005,1100205
RO,5231102,10,3345.15,1,8,7,951105,1100205
RO,5231102,10,1535.28,2,8,6,783210,1100205
RO,5231102,10,1477.18,1,8,7,784205,1100205
RO,5231102,10,3140.7,1,8,8,951105,1100205
RO,5231102,10,7286.82,2,2,9,840105,1100205
RO,5231102,10,3297.42,1,4,2,784205,1100205
RO,5231101,90,2988.1,1,2,7,414215,1100205
RO,5231102,10,2794.37,1,6,7,715135,1100205
RO,5231102,10,3024.52,1,2,8,391205,1100205
RO,5231102,10,1142.88,1,8,7,784205,1100205
RO,5231101,10,5469.12,1,2,7,517325,1100205
RO,5231102,10,2490.17,1,8,2,784205,1100205
RO,5231102,10,2582.22,1,8,7,784205,1100205
RO,5231102,10,2628.5,1,4,7,784205,1100205
RO,5231101,10,6086.15,1,2,9,517325,1100205
RO,5231101,90,2447.62,1,9,3,721215,1100205
RO,5231102,10,5352.72,1,2,7,951105,1100205
RO,5231101,10,4560.43,1,2,7,342610,1100205
RO,5231102,10,1318.39,1,4,6,784205,1100205
RO,5231102,10,1617.83,1,8,7,784205,1100205
RO,5231102,10,1503.3,1,8,5,783210,1100205
RO,5231102,10,1547.36,1,8,7,784205,1100205
RO,5231102,10,2420.34,1,8,6,784205,1100205
RO,5231102,10,1672.65,1,8,7,715210,1100205
RO,5231101,10,3556.54,2,2,9,252305,1100205
RO,5231102,10,0,1,2,5,911305,1100205
RO,5231102,10,2172.8,1,8,7,783220,1100205
RO,5231101,10,5986.66,1,9,9,517325,1100205
RO,5231102,10,1532.85,2,8,5,783210,1100205
RO,5231102,55,512.82,2,8,6,411005,1100205
RO,5231102,10,2778.99,1,8,7,784205,1100205
RO,5231102,10,6176.04,1,8,7,782110,1100205
RO,5231102,10,1758.89,1,9,7,783220,1100205
RO,5231102,10,4192.39,1,2,7,715135,1100205
RO,5231102,10,3481.07,1,8,4,784205,1100205
RO,5231102,10,2398.05,1,2,4,784205,1100205
RO,5231102,10,1667.7,2,8,9,411005,1100205
RO,5231101,10,5320.3,1,9,9,410105,1100205
RO,5231102,10,2074.83,1,2,4,784205,1100205
RO,5231102,10,2022.41,1,8,7,784205,1100205
RO,5231101,10,4320.54,1,2,7,342610,1100205
RO,5231102,10,1200,2,8,8,783210,1100205
RO,5231101,10,3354.24,2,2,7,342610,1100205
RO,5231102,10,1980.11,1,8,7,783220,1100205
RO,5231102,10,1143.64,1,8,7,784205,1100205
RO,5231102,10,3776.62,1,2,2,784205,1100205
RO,5231101,55,743.85,1,9,6,411005,1100205
RO,5231102,10,1527.31,1,8,7,784205,1100205
RO,5231102,55,508.25,2,8,8,411005,1100205
RO,5231101,10,5353.47,1,2,9,517325,1100205
RO,5231102,10,3878.31,1,8,7,351605,1100205
RO,5231102,10,1348.44,1,8,7,783225,1100205
RO,5231102,10,1454.93,1,8,7,784205,1100205
RO,5231102,10,2026.37,1,8,7,414105,1100205
RO,5231102,10,2394.85,1,4,2,784205,1100205
RO,5231102,10,5597.34,1,8,7,212420,1100205
RO,5231102,10,9641.15,1,8,9,214305,1100205
RO,5231102,10,1150.83,1,8,7,784205,1100205
